crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,1 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
8 ,3 ,116 ,054 ,0 ,0
8 ,2 ,117 ,001 ,0 ,0
8 ,2 ,117 ,068 ,0 ,0
8 ,2 ,117 ,068 ,0 ,0
8 ,2 ,117 ,071 ,0 ,0
8 ,2 ,117 ,071 ,0 ,0
8 ,2 ,117 ,118 ,0 ,0
8 ,2 ,117 ,118 ,0 ,0
8 ,3 ,118 ,004 ,0 ,0
8 ,3 ,118 ,045 ,0 ,0
8 ,3 ,118 ,045 ,1 ,0
8 ,3 ,118 ,045 ,0 ,0
8 ,3 ,118 ,045 ,0 ,0
8 ,3 ,118 ,046 ,0 ,0
8 ,3 ,118 ,046 ,0 ,0
8 ,3 ,118 ,046 ,0 ,0
8 ,3 ,118 ,120 ,0 ,0
8 ,2 ,119 ,076 ,0 ,0
8 ,2 ,119 ,076 ,0 ,0
8 ,2 ,119 ,076 ,0 ,0
8 ,2 ,119 ,082 ,1 ,0
8 ,2 ,119 ,124 ,0 ,0
8 ,2 ,119 ,124 ,0 ,0
8 ,2 ,119 ,124 ,0 ,0
8 ,1 ,120 ,056 ,0 ,0
8 ,1 ,120 ,057 ,0 ,0
8 ,1 ,120 ,057 ,1 ,0
8 ,1 ,120 ,057 ,1 ,0
8 ,1 ,120 ,062 ,0 ,0
8 ,1 ,120 ,121 ,0 ,0
8 ,1 ,120 ,121 ,0 ,0
8 ,1 ,120 ,121 ,0 ,0
8 ,1 ,120 ,121 ,0 ,0
8 ,2 ,121 ,067 ,0 ,0
8 ,2 ,121 ,069 ,0 ,0
8 ,2 ,122 ,015 ,0 ,0
8 ,2 ,122 ,072 ,0 ,0
8 ,2 ,122 ,072 ,0 ,0
8 ,2 ,122 ,072 ,0 ,0
8 ,2 ,122 ,081 ,0 ,0
7 ,1 ,111 ,025 ,1 ,0
7 ,3 ,112 ,083 ,1 ,0
7 ,1 ,113 ,060 ,0 ,0
7 ,3 ,116 ,053 ,0 ,0
7 ,2 ,117 ,064 ,0 ,0
7 ,3 ,118 ,045 ,0 ,0
7 ,3 ,118 ,120 ,0 ,0
6 ,1 ,111 ,029 ,1 ,0
6 ,2 ,117 ,009 ,0 ,0
6 ,2 ,119 ,082 ,0 ,0
6 ,1 ,120 ,061 ,0 ,0
6 ,1 ,120 ,062 ,0 ,0
6 ,1 ,120 ,121 ,0 ,0
5 ,1 ,111 ,020 ,0 ,0
5 ,1 ,111 ,020 ,0 ,0
5 ,1 ,111 ,021 ,0 ,0
5 ,1 ,111 ,022 ,0 ,0
5 ,1 ,111 ,022 ,0 ,0
5 ,1 ,111 ,022 ,0 ,0
5 ,1 ,111 ,023 ,0 ,0
5 ,1 ,111 ,024 ,0 ,0
5 ,1 ,111 ,029 ,1 ,0
5 ,1 ,111 ,029 ,0 ,0
9 ,2 ,122 ,015 ,1 ,0
9 ,2 ,122 ,081 ,0 ,0
9 ,2 ,122 ,122 ,1 ,0
68,3 ,112 ,027 ,0 ,0
68,3 ,116 ,054 ,0 ,0
68,2 ,117 ,001 ,0 ,0
68,1 ,120 ,062 ,0 ,0
67 ,3 ,118 ,045 ,0 ,0
67 ,1 ,120 ,002 ,0 ,0
80 ,2 ,119 ,076 ,0 ,0
66,3 ,116 ,051 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,2 ,119 ,124 ,0 ,0
3 ,2 ,119 ,124 ,0 ,0
3 ,2 ,119 ,124 ,0 ,0
3 ,2 ,119 ,124 ,0 ,0
3 ,1 ,120 ,061 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,121 ,0 ,0
3 ,1 ,120 ,125 ,0 ,0
3 ,2 ,122 ,015 ,0 ,0
34 ,1 ,114 ,065 ,0 ,0
